温度层别,厚度层别,长度层别,宽度上限,宽度下限,钢种层别,,,初始辊速,加速度,水量1,水量2,水量3,水量4,水比1,水比2,水比3,水比4,边腔水比1,边腔水比2,边腔水比3,边腔水比4,初始冷却时间,C水量下限,C水量上限
1,1,2,4100,1000,0,,,2,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,0.6,65,75
1,2,2,4100,1000,0,,,2,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,0.6,65,75
1,3,2,4100,1000,0,,,2,0.009,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,1,65,75
1,4,2,4100,1000,0,,,2,0.008,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,7,65,75
1,5,2,4100,1000,0,,,1.8,0.007,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,7,65,75
1,6,2,4100,1000,0,,,1.8,0.006,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,13,65,75
1,7,2,4100,1000,0,,,1.8,0.005,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
1,8,2,4100,1000,0,,,1.8,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
1,9,2,4100,1000,0,,,1.5,0.003,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
1,10,2,4100,1000,0,,,1.5,0.003,70,70,70,70,2,2,2,2,0.35,0.35,0.35,0.35,15,65,75
1,11,2,4100,1000,0,,,1.5,0.003,70,70,70,70,2,2,2,2,0.35,0.35,0.35,0.35,15,65,75
1,12,2,4100,1000,0,,,1.5,0.002,70,70,70,70,2,2,2,2,0.35,0.35,0.35,0.35,15,65,75
1,13,2,4100,1000,0,,,1.5,0.002,70,70,70,70,2,2,2,2,0.35,0.35,0.35,0.35,15,65,75
1,14,2,4100,1000,0,,,1.5,0,70,70,70,70,2,2,2,2,0.35,0.35,0.35,0.35,15,65,75
1,15,2,4100,1000,0,,,1.5,0,70,70,70,70,2,2,2,2,0.35,0.35,0.35,0.35,15,65,75
2,1,2,4100,1000,0,,,2,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
2,2,2,4100,1000,0,,,2,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
2,3,2,4100,1000,0,,,2,0.009,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,1,65,75
2,4,2,4100,1000,0,,,2,0.008,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,1.5,65,75
2,5,2,4100,1000,0,,,1.8,0.007,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,2,65,75
2,6,2,4100,1000,0,,,1.8,0.006,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,8,65,75
2,7,2,4100,1000,0,,,1.8,0.005,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,8,75,85
2,8,2,4100,1000,0,,,1.8,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,14,75,85
2,9,2,4100,1000,0,,,1.5,0.003,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
2,10,2,4100,1000,0,,,1.5,0.003,70,70,70,70,2,2,2,2,0.35,0.35,0.35,0.35,15,65,75
